Year,Month,Day,Hour,Minute,Second,HYY_META.diffGLOB
2008,07,16,11,30,00,284.53429
2008,07,16,12,00,00,193.91429
2008,07,16,12,30,00,145.23233
2008,07,16,13,00,00,110.95033
2008,07,16,13,30,00,129.01
2008,07,16,14,00,00,216.72069
2008,07,16,14,30,00,201.07
2008,07,16,15,00,00,178.215
2008,07,16,15,30,00,199.77233
2008,07,16,16,00,00,170.31667
2008,07,16,16,30,00,125.87967
2008,07,16,17,00,00,87.15267
2008,07,16,17,30,00,111.33233
2008,07,16,18,00,00,104.81333
2008,07,16,18,30,00,72.002
2008,07,16,19,00,00,113.888
2008,07,16,19,30,00,67.115
2008,07,16,20,00,00,47.61633
2008,07,16,20,30,00,35.79833
2008,07,16,21,00,00,19.525
2008,07,16,21,30,00,11.692
2008,07,16,22,00,00,1.59833
2008,07,16,22,30,00,-0.78767
2008,07,16,23,00,00,-0.17867
2008,07,16,23,30,00,-0.442
2008,07,17,00,00,00,-0.724
2008,07,17,00,30,00,-1.574
2008,07,17,01,00,00,-0.792
2008,07,17,01,30,00,-0.51967
2008,07,17,02,00,00,-0.072
2008,07,17,02,30,00,0.779
2008,07,17,03,00,00,2.74433
2008,07,17,03,30,00,8.652
2008,07,17,04,00,00,20.839
2008,07,17,04,30,00,37.27167
2008,07,17,05,00,00,65.649
2008,07,17,05,30,00,106.96367
2008,07,17,06,00,00,129.71667
