Year,Month,Day,Hour,Minute,Second,HYY_META.tsoil_A
2019,01,15,12,30,00,1.3065
2019,01,15,13,00,00,1.3035
2019,01,15,13,30,00,1.3045
2019,01,15,14,00,00,1.3
2019,01,15,14,30,00,1.3015
2019,01,15,15,00,00,1.3035
2019,01,15,15,30,00,1.3035
2019,01,15,16,00,00,1.295
2019,01,15,16,30,00,1.2975
2019,01,15,17,00,00,1.3
2019,01,15,17,30,00,1.3045
2019,01,15,18,00,00,1.3045
2019,01,15,18,30,00,1.296
2019,01,15,19,00,00,1.3
2019,01,15,19,30,00,1.304
2019,01,15,20,00,00,1.3025
2019,01,15,20,30,00,1.2965
2019,01,15,21,00,00,1.294
2019,01,15,21,30,00,1.292
2019,01,15,22,00,00,1.295
2019,01,15,22,30,00,1.2915
2019,01,15,23,00,00,1.288
2019,01,15,23,30,00,1.285
2019,01,16,00,00,00,1.2835
2019,01,16,00,30,00,1.276
2019,01,16,01,00,00,1.276
2019,01,16,01,30,00,1.271
2019,01,16,02,00,00,1.271
2019,01,16,02,30,00,1.274
2019,01,16,03,00,00,1.271
2019,01,16,03,30,00,1.269
2019,01,16,04,00,00,1.271
2019,01,16,04,30,00,1.2685
2019,01,16,05,00,00,1.276
2019,01,16,05,30,00,1.2725
2019,01,16,06,00,00,1.271
2019,01,16,06,30,00,1.2785
2019,01,16,07,00,00,1.277
2019,01,16,07,30,00,1.277
2019,01,16,08,00,00,1.2745
2019,01,16,08,30,00,1.277
2019,01,16,09,00,00,1.277
2019,01,16,09,30,00,1.277
2019,01,16,10,00,00,1.276
2019,01,16,10,30,00,1.28
2019,01,16,11,00,00,1.2795
2019,01,16,11,30,00,1.2785
2019,01,16,12,00,00,1.2785
2019,01,16,12,30,00,1.276
2019,01,16,13,00,00,1.2735
2019,01,16,13,30,00,1.271
2019,01,16,14,00,00,1.2745
2019,01,16,14,30,00,1.271
2019,01,16,15,00,00,1.2775
2019,01,16,15,30,00,1.2765
2019,01,16,16,00,00,1.285
2019,01,16,16,30,00,1.2875
2019,01,16,17,00,00,1.29
2019,01,16,17,30,00,1.29
2019,01,16,18,00,00,1.2865
2019,01,16,18,30,00,1.288
2019,01,16,19,00,00,1.29
2019,01,16,19,30,00,1.288
2019,01,16,20,00,00,1.28
2019,01,16,20,30,00,1.2815
2019,01,16,21,00,00,1.2765
2019,01,16,21,30,00,1.288
2019,01,16,22,00,00,1.288
2019,01,16,22,30,00,1.284
2019,01,16,23,00,00,1.275
2019,01,16,23,30,00,1.275
2019,01,17,00,00,00,1.28
2019,01,17,00,30,00,1.2825
2019,01,17,01,00,00,1.279
2019,01,17,01,30,00,1.284
2019,01,17,02,00,00,1.27
2019,01,17,02,30,00,1.279
2019,01,17,03,00,00,1.275
2019,01,17,03,30,00,1.28
2019,01,17,04,00,00,1.2775
2019,01,17,04,30,00,1.276
2019,01,17,05,00,00,1.272
2019,01,17,05,30,00,1.2695
2019,01,17,06,00,00,1.27
2019,01,17,06,30,00,1.27
2019,01,17,07,00,00,1.273
2019,01,17,07,30,00,1.268
2019,01,17,08,00,00,1.27
2019,01,17,08,30,00,1.2645
2019,01,17,09,00,00,1.2675
2019,01,17,09,30,00,1.266
2019,01,17,10,00,00,1.27
2019,01,17,10,30,00,1.265
2019,01,17,11,00,00,1.266
2019,01,17,11,30,00,1.2675
