Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,11,05,00,00,100
2019,01,11,05,30,00,100
2019,01,11,06,00,00,100
2019,01,11,06,30,00,100
2019,01,11,07,00,00,100
2019,01,11,07,30,00,100
2019,01,11,08,00,00,100
2019,01,11,08,30,00,100
2019,01,11,09,00,00,100
2019,01,11,09,30,00,100
2019,01,11,10,00,00,100
2019,01,11,10,30,00,100
2019,01,11,11,00,00,99.99994
2019,01,11,11,30,00,99.809
2019,01,11,12,00,00,99.48797
2019,01,11,12,30,00,99.08167
2019,01,11,13,00,00,98.25575
2019,01,11,13,30,00,97.59442
2019,01,11,14,00,00,96.84378
2019,01,11,14,30,00,97.02855
2019,01,11,15,00,00,97.79464
2019,01,11,15,30,00,97.18206
2019,01,11,16,00,00,96.81442
2019,01,11,16,30,00,96.80331
2019,01,11,17,00,00,96.51903
2019,01,11,17,30,00,95.765
2019,01,11,18,00,00,94.93933
2019,01,11,18,30,00,94.29742
2019,01,11,19,00,00,95.08558
2019,01,11,19,30,00,95.48775
2019,01,11,20,00,00,94.64708
2019,01,11,20,30,00,95.06031
2019,01,11,21,00,00,94.82381
2019,01,11,21,30,00,93.20192
2019,01,11,22,00,00,92.30306
2019,01,11,22,30,00,92.27269
2019,01,11,23,00,00,92.04708
2019,01,11,23,30,00,91.73278
2019,01,12,00,00,00,92.01792
2019,01,12,00,30,00,91.64694
2019,01,12,01,00,00,91.39261
2019,01,12,01,30,00,90.90539
2019,01,12,02,00,00,90.28003
2019,01,12,02,30,00,90.10261
2019,01,12,03,00,00,90.38131
2019,01,12,03,30,00,90.75058
2019,01,12,04,00,00,91.90281
2019,01,12,04,30,00,91.13175
2019,01,12,05,00,00,92.15108
2019,01,12,05,30,00,91.57539
2019,01,12,06,00,00,91.15083
2019,01,12,06,30,00,91.83758
2019,01,12,07,00,00,91.40747
2019,01,12,07,30,00,91.17372
2019,01,12,08,00,00,90.29928
2019,01,12,08,30,00,90.01261
2019,01,12,09,00,00,89.72444
2019,01,12,09,30,00,90.44155
2019,01,12,10,00,00,91.44897
2019,01,12,10,30,00,91.66361
2019,01,12,11,00,00,91.08458
2019,01,12,11,30,00,90.78861
2019,01,12,12,00,00,90.83506
2019,01,12,12,30,00,90.17417
2019,01,12,13,00,00,88.68492
2019,01,12,13,30,00,87.92878
2019,01,12,14,00,00,88.43672
2019,01,12,14,30,00,90.11622
2019,01,12,15,00,00,90.11733
2019,01,12,15,30,00,89.92956
2019,01,12,16,00,00,90.32147
2019,01,12,16,30,00,89.65761
2019,01,12,17,00,00,89.91486
2019,01,12,17,30,00,90.06525
2019,01,12,18,00,00,90.60869
2019,01,12,18,30,00,91.28897
2019,01,12,19,00,00,91.98214
2019,01,12,19,30,00,92.2615
2019,01,12,20,00,00,92.66361
2019,01,12,20,30,00,92.67567
2019,01,12,21,00,00,92.40019
2019,01,12,21,30,00,92.41808
2019,01,12,22,00,00,92.78692
2019,01,12,22,30,00,92.34958
2019,01,12,23,00,00,92.70886
2019,01,12,23,30,00,93.04422
2019,01,13,00,00,00,93.81194
2019,01,13,00,30,00,94.58406
2019,01,13,01,00,00,94.21636
2019,01,13,01,30,00,94.62033
2019,01,13,02,00,00,94.38542
2019,01,13,02,30,00,94.04664
2019,01,13,03,00,00,93.99608
2019,01,13,03,30,00,93.19667
2019,01,13,04,00,00,93.60258
2019,01,13,04,30,00,94.93536
2019,01,13,05,00,00,95.88483
2019,01,13,05,30,00,95.88656
2019,01,13,06,00,00,96.55892
2019,01,13,06,30,00,97.11533
2019,01,13,07,00,00,97.42583
2019,01,13,07,30,00,97.47864
2019,01,13,08,00,00,97.81378
2019,01,13,08,30,00,98.25669
2019,01,13,09,00,00,98.64622
2019,01,13,09,30,00,98.48031
2019,01,13,10,00,00,97.85156
2019,01,13,10,30,00,97.99842
2019,01,13,11,00,00,98.30139
2019,01,13,11,30,00,98.25403
2019,01,13,12,00,00,98.15828
2019,01,13,12,30,00,97.51578
2019,01,13,13,00,00,97.32453
2019,01,13,13,30,00,97.03667
2019,01,13,14,00,00,96.61642
2019,01,13,14,30,00,96.56608
2019,01,13,15,00,00,96.77358
2019,01,13,15,30,00,96.91939
2019,01,13,16,00,00,97.12558
2019,01,13,16,30,00,97.30694
2019,01,13,17,00,00,97.53372
2019,01,13,17,30,00,97.57558
2019,01,13,18,00,00,97.6895
2019,01,13,18,30,00,97.67636
2019,01,13,19,00,00,97.57722
2019,01,13,19,30,00,97.93767
2019,01,13,20,00,00,98.31005
2019,01,13,20,30,00,98.52147
2019,01,13,21,00,00,98.74
2019,01,13,21,30,00,98.79642
2019,01,13,22,00,00,99.06861
2019,01,13,22,30,00,99.3302
2019,01,13,23,00,00,99.28975
2019,01,13,23,30,00,99.33258
2019,01,14,00,00,00,99.25772
2019,01,14,00,30,00,99.25156
2019,01,14,01,00,00,99.25505
2019,01,14,01,30,00,99.23964
2019,01,14,02,00,00,99.161
2019,01,14,02,30,00,99.15678
2019,01,14,03,00,00,99.19642
2019,01,14,03,30,00,99.22933
2019,01,14,04,00,00,99.21867
2019,01,14,04,30,00,99.12597
2019,01,14,05,00,00,98.99606
2019,01,14,05,30,00,98.99756
2019,01,14,06,00,00,98.9933
2019,01,14,06,30,00,98.94886
2019,01,14,07,00,00,98.95097
2019,01,14,07,30,00,98.97414
2019,01,14,08,00,00,98.97533
2019,01,14,08,30,00,98.91986
2019,01,14,09,00,00,98.92389
2019,01,14,09,30,00,99.04625
2019,01,14,10,00,00,97.9115
2019,01,14,10,30,00,97.51278
2019,01,14,11,00,00,97.44525
2019,01,14,11,30,00,97.44958
2019,01,14,12,00,00,97.55986
2019,01,14,12,30,00,97.50525
2019,01,14,13,00,00,96.88519
2019,01,14,13,30,00,96.14078
2019,01,14,14,00,00,95.45272
2019,01,14,14,30,00,95.36125
2019,01,14,15,00,00,95.49822
2019,01,14,15,30,00,94.88317
2019,01,14,16,00,00,94.33928
2019,01,14,16,30,00,95.02231
2019,01,14,17,00,00,93.60783
2019,01,14,17,30,00,93.16347
2019,01,14,18,00,00,91.55461
2019,01,14,18,30,00,91.20664
2019,01,14,19,00,00,89.13878
2019,01,14,19,30,00,87.5097
2019,01,14,20,00,00,89.32761
2019,01,14,20,30,00,90.53783
2019,01,14,21,00,00,90.12778
2019,01,14,21,30,00,91.39203
2019,01,14,22,00,00,91.87303
